Código Nacional;Grupo Econômico;media_ano;market_share;hhi_empresa
62;TELECOM AMERICAS;2402079,3;0,3471;1204,7841
62;TELECOM ITALIA;1899102,18;0,2744;752,9535999999999
62;TELEFONICA;1520627,11;0,2197;482,6809
63;AMERICA NET;5,0;0,0;0,0
63;DATORA;2301,4;0,0011;0,012100000000000001
63;OI;378966,98;0,1793;321,4848999999999
63;OUTROS;7728,36;0,0037;0,13690000000000002
63;SURF TELECOM;3134,5;0,0015;0,0225
63;TELECOM AMERICAS;969113,23;0,4585;2102,2225000000003
63;TELECOM ITALIA;503953,26;0,2384;568,3456
63;TELEFONICA;248263,65;0,1175;138,0625
64;ALGAR (CTBC TELECOM);48810,58;0,023;5,289999999999999
64;AMERICA NET;76,0;0,0;0,0
64;DATORA;735,0;0,0003;0,0008999999999999999
64;OI;227967,77;0,1074;115,3476
64;OUTROS;6828,64;0,0032;0,1024
64;SURF TELECOM;2666,0;0,0013;0,0169
64;TELECOM AMERICAS;816874,04;0,3847;1479,9409
64;TELECOM ITALIA;407926,27;0,1921;369,0241
64;TELEFONICA;611690,29;0,288;829,4399999999999
65;AMERICA NET;443,0;0,0002;0,0004
65;DATORA;505,0;0,0002;0,0004
65;OI;248560,14;0,0946;89,4916
65;OUTROS;8494,35;0,0032;0,1024
65;SURF TELECOM;3344,5;0,0013;0,0169
65;TELECOM AMERICAS;785106,05;0,2989;893,4121
65;TELECOM ITALIA;451879,23;0,172;295,84
65;TELEFONICA;1128259,02;0,4296;1845,5616
66;DATORA;1399,3;0,0006;0,0035999999999999995
66;OI;330839,88;0,1424;202,77759999999998
66;OUTROS;8496,8;0,0037;0,13690000000000002
66;SURF TELECOM;3587,5;0,0015;0,0225
66;TELECOM AMERICAS;390115,74;0,1679;281,90409999999997
66;TELECOM ITALIA;514457,82;0,2214;490,17960000000005
66;TELEFONICA;1074996,11;0,4626;2139,9876
67;ALGAR (CTBC TELECOM);15904,49;0,0047;0,2209
67;AMERICA NET;218,5;0,0001;0,0001
67;OI;228524,42;0,0674;45,4276
67;OUTROS;11542,65;0,0034;0,1156
67;SURF TELECOM;5166,5;0,0015;0,0225
67;TELECOM AMERICAS;1089166,87;0,3211;1031,0521
67;TELECOM ITALIA;542395,71;0,1599;255,68009999999995
67;TELEFONICA;1499395,08;0,442;1953,64
68;DATORA;1365,0;0,0014;0,0196
68;OI;81042,95;0,0834;69,5556
68;OUTROS;7110,73;0,0073;0,5329
68;SURF TELECOM;3571,5;0,0037;0,13690000000000002
68;TELECOM AMERICAS;394785,92;0,4061;1649,1721
68;TELECOM ITALIA;122032,72;0,1255;157,5025
68;TELEFONICA;362336,03;0,3727;1389,0529
69;AMERICA NET;3,0;0,0;0,0
69;DATORA;1235,0;0,0006;0,0035999999999999995
69;OI;314596,83;0,1428;203,91840000000002
69;OUTROS;7951,96;0,0036;0,1296
69;SURF TELECOM;3942,5;0,0018;0,0324
69;TELECOM AMERICAS;1021515,77;0,4637;2150,1769
69;TELECOM ITALIA;463543,4;0,2104;442,6816
69;TELEFONICA;390244,51;0,1771;313,64410000000004
71;AMERICA NET;1097,0;0,0001;0,0001
71;DATORA;25717,0;0,0032;0,1024
71;OI;1925714,52;0,242;585,64
71;OUTROS;37467,95;0,0047;0,2209
71;SURF TELECOM;6024,0;0,0008;0,0064
71;TELECOM AMERICAS;3269363,23;0,4109;1688,3880999999997
71;TELECOM ITALIA;1289814,58;0,1621;262,7641
71;TELEFONICA;1402286,84;0,1762;310,46439999999996
73;AMERICA NET;2,0;0,0;0,0
73;DATORA;1145,0;0,0004;0,0016
73;OI;659677,81;0,2042;416,97639999999996
73;OUTROS;32572,46;0,0101;1,0201
73;SURF TELECOM;4987,5;0,0015;0,0225
73;TELECOM AMERICAS;628076,82;0,1944;377,9136
73;TELECOM ITALIA;987075,76;0,3056;933,9136
73;TELEFONICA;916941,98;0,2838;805,4243999999999
74;DATORA;1166,5;0,0006;0,0035999999999999995
74;OI;474567,23;0,2303;530,3809
74;OUTROS;41168,32;0,02;4,0
74;SURF TELECOM;2863,0;0,0014;0,0196
74;TELECOM AMERICAS;725879,11;0,3522;1240,4484
74;TELECOM ITALIA;195565,63;0,0949;90,0601
74;TELEFONICA;619571,3;0,3006;903,6035999999999
75;AMERICA NET;71,0;0,0;0,0
75;DATORA;2237,9;0,0005;0,0025
75;OI;709254,06;0,1548;239,63039999999998
75;OUTROS;30571,55;0,0067;0,4489000000000001
75;SURF TELECOM;4253,0;0,0009;0,0081
75;TELECOM AMERICAS;1114059,7;0,2431;590,9761
75;TELECOM ITALIA;1482076,45;0,3234;1045,8756
75;TELEFONICA;1239640,5;0,2705;731,7025000000001
77;AMERICA NET;9,0;0,0;0,0
77;DATORA;6578,18;0,0022;0,048400000000000006
77;OI;520248,02;0,1741;303,1081
77;OUTROS;46510,14;0,0156;2,4335999999999998
77;SURF TELECOM;26616,0;0,0089;0,7920999999999999
77;TELECOM AMERICAS;940507,7;0,3148;990,9904000000001
77;TELECOM ITALIA;384743,71;0,1288;165,8944
77;TELEFONICA;1062337,3;0,3556;1264,5136000000002
79;AMERICA NET;18,0;0,0;0,0
79;DATORA;2894,0;0,0009;0,0081
79;OI;533779,54;0,1751;306,6001
79;OUTROS;7736,34;0,0025;0,0625
79;SURF TELECOM;2842,5;0,0009;0,0081
79;TELECOM AMERICAS;799725,71;0,2623;688,0128999999998
79;TELECOM ITALIA;195622,23;0,0642;41,21639999999999
79;TELEFONICA;1506401,84;0,4941;2441,3480999999997
81;AMERICA NET;13,0;0,0;0,0
81;DATORA;20505,0;0,0018;0,0324
81;OI;3060205,35;0,2719;739,2960999999999
81;OUTROS;12860,59;0,0011;0,012100000000000001
81;SURF TELECOM;6318,5;0,0006;0,0035999999999999995
81;TELECOM AMERICAS;2626212,86;0,2334;544,7556
81;TELECOM ITALIA;2039758,98;0,1812;328,33439999999996
81;TELEFONICA;3488024,73;0,3099;960,3801000000001
82;AMERICA NET;6,0;0,0;0,0
82;DATORA;7411,09;0,0018;0,0324
82;OI;896594,93;0,2189;479,1721
82;OUTROS;8641,43;0,0021;0,04409999999999999
82;SURF TELECOM;4106,0;0,001;0,01
82;TELECOM AMERICAS;882251,63;0,2154;463,9716000000001
82;TELECOM ITALIA;1015167,34;0,2478;614,0483999999999
82;TELEFONICA;1282506,36;0,3131;980,3160999999999
83;AMERICA NET;20,5;0,0;0,0
83;DATORA;15188,5;0,0025;0,0625
83;OI;1606184,17;0,2622;687,4884
83;OUTROS;12012,51;0,002;0,04
83;SURF TELECOM;5714,5;0,0009;0,0081
83;TELECOM AMERICAS;1024351,52;0,1672;279,55839999999995
83;TELECOM ITALIA;1546729,85;0,2525;637,5625
83;TELEFONICA;1915439,38;0,3127;977,8128999999999
84;AMERICA NET;4,0;0,0;0,0
84;DATORA;12645,73;0,0027;0,0729
84;OI;1163355,15;0,2463;606,6369
84;OUTROS;16296,55;0,0034;0,1156
84;SURF TELECOM;9342,5;0,002;0,04
84;TELECOM AMERICAS;904337,0;0,1914;366,3395999999999
84;TELECOM ITALIA;1257839,91;0,2663;709,1569
84;TELEFONICA;1360091,27;0,2879;828,8640999999999
85;AMERICA NET;1,0;0,0;0,0
85;DATORA;35391,27;0,004;0,16
85;OI;2685936,29;0,3008;904,8064
85;OUTROS;12580,16;0,0014;0,0196
85;SURF TELECOM;4378,0;0,0005;0,0025
85;TELECOM AMERICAS;1659629,03;0,1859;345,5881
85;TELECOM ITALIA;1450647,63;0,1625;264,0625
85;TELEFONICA;3079669,91;0,3449;1189,5601
86;AMERICA NET;4,0;0,0;0,0
86;DATORA;706,0;0,0003;0,0008999999999999999
86;OI;423137,76;0,1564;244,60960000000003
86;OUTROS;8361,87;0,0031;0,09609999999999999
86;SURF TELECOM;3084,5;0,0011;0,012100000000000001
86;TELECOM AMERICAS;923518,69;0,3413;1164,8569
86;TELECOM ITALIA;633849,54;0,2343;548,9649000000001
86;TELEFONICA;713076,07;0,2635;694,3225
87;AMERICA NET;5,0;0,0;0,0
87;DATORA;14234,4;0,0054;0,2916
87;OI;417172,7;0,1585;251,22250000000003
87;OUTROS;6721,4;0,0026;0,0676
87;SURF TELECOM;3615,0;0,0014;0,0196
87;TELECOM AMERICAS;897486,99;0,341;1162,8100000000002
87;TELECOM ITALIA;751582,23;0,2856;815,6736000000001
87;TELEFONICA;540896,94;0,2055;422,30249999999995
88;AMERICA NET;1,0;0,0;0,0
88;DATORA;820,93;0,0002;0,0004
88;OI;472525,32;0,1214;147,37959999999998
88;OUTROS;8552,9;0,0022;0,048400000000000006
88;SURF TELECOM;4199,0;0,0011;0,012100000000000001
88;TELECOM AMERICAS;1011459,1;0,2599;675,4801000000001
88;TELECOM ITALIA;1350773,23;0,3471;1204,7841
88;TELEFONICA;1043602,27;0,2681;718,7761
89;AMERICA NET;4,0;0,0;0,0
89;DATORA;145,0;0,0001;0,0001
89;OI;149746,58;0,1313;172,3969
89;OUTROS;9640,25;0,0085;0,7225
89;SURF TELECOM;3258,5;0,0029;0,0841
89;TELECOM AMERICAS;389116,62;0,3412;1164,1743999999999
89;TELECOM ITALIA;320041,79;0,2807;787,9249000000001
89;TELEFONICA;268356,96;0,2353;553,6609000000001
91;AMERICA NET;4,0;0,0;0,0
91;DATORA;4624,0;0,0007;0,0049
91;OI;1025349,6;0,1575;248,06250000000003
91;OUTROS;11138,05;0,0017;0,0289
91;SURF TELECOM;4172,0;0,0006;0,0035999999999999995
91;TELECOM AMERICAS;2582962,38;0,3969;1575,2960999999998
91;TELECOM ITALIA;1415663,11;0,2175;473,0625
91;TELEFONICA;1464660,73;0,225;506,25000000000006
92;AMERICA NET;6,0;0,0;0,0
92;DATORA;1207,0;0,0003;0,0008999999999999999
92;OI;514281,15;0,1203;144,72090000000003
92;OUTROS;9091,0;0,0021;0,04409999999999999
92;SURF TELECOM;3040,5;0,0007;0,0049
92;TELECOM AMERICAS;1596150,34;0,3735;1395,0225
92;TELECOM ITALIA;395527,55;0,0925;85,5625
92;TELEFONICA;1754486,24;0,4105;1685,1024999999997
93;DATORA;6072,58;0,0046;0,2116
93;OI;127279,4;0,097;94,09
93;OUTROS;8452,17;0,0064;0,4096
93;SURF TELECOM;2971,5;0,0023;0,0529
93;TELECOM AMERICAS;177255,37;0,1351;182,52009999999999
93;TELECOM ITALIA;205389,03;0,1565;244,9225
93;TELEFONICA;785081,78;0,5982;3578,4323999999997
94;AMERICA NET;39,0;0,0;0,0
94;DATORA;868,93;0,0004;0,0016
94;OI;250003,35;0,1292;166,92640000000003
94;OUTROS;8280,52;0,0043;0,1849
94;SURF TELECOM;2443,5;0,0013;0,0169
94;TELECOM AMERICAS;303720,01;0,157;246,49
94;TELECOM ITALIA;425651,9;0,22;484,0
94;TELEFONICA;944048,51;0,4879;2380,4641
95;AMERICA NET;2,0;0,0;0,0
95;DATORA;1397,2;0,002;0,04
95;OI;34976,5;0,0502;25,200400000000002
95;OUTROS;7432,81;0,0107;1,1448999999999998
95;SURF TELECOM;3306,5;0,0047;0,2209
95;TELECOM AMERICAS;164969,87;0,2366;559,7956
95;TELECOM ITALIA;124941,87;0,1792;321,1264
95;TELEFONICA;360164,01;0,5166;2668,7555999999995
96;AMERICA NET;115,0;0,0001;0,0001
96;OI;154445,01;0,1491;222,30810000000002
96;OUTROS;8826,83;0,0085;0,7225
96;SURF TELECOM;2686,0;0,0026;0,0676
96;TELECOM AMERICAS;224765,87;0,217;470,89
96;TELECOM ITALIA;302350,78;0,2919;852,0561
96;TELEFONICA;342626,15;0,3308;1094,2864
97;DATORA;225,0;0,0003;0,0008999999999999999
97;OI;67975,97;0,0945;89,30250000000001
97;OUTROS;4386,7;0,0061;0,37210000000000004
