Código Nacional;Grupo Econômico;media_ano;market_share;hhi_empresa
38;ALGAR (CTBC TELECOM);1,0;0,0;0,0
38;DATORA;2455,0;0,0011;0,012100000000000001
38;NEXTEL;6,76;0,0;0,0
38;OI;294929,15;0,1305;170,3025
38;OUTROS;3149,41;0,0014;0,0196
38;TELECOM AMERICAS;112808,39;0,0499;24,9001
38;TELECOM ITALIA;407346,08;0,1802;324,7204
38;TELEFONICA;1440150,15;0,637;4057,69
41;DATORA;23500,75;0,0048;0,23039999999999997
41;NEXTEL;115,61;0,0;0,0
41;OI;462823,2;0,0946;89,4916
41;OUTROS;19971,94;0,0041;0,16810000000000003
41;TELECOM AMERICAS;1126127,36;0,2301;529,4601
41;TELECOM ITALIA;2297894,6;0,4695;2204,3025
41;TELEFONICA;963715,35;0,1969;387,69609999999994
42;DATORA;51,67;0,0;0,0
42;NEXTEL;8,46;0,0;0,0
42;OI;162157,3;0,1041;108,36809999999998
42;OUTROS;10610,14;0,0068;0,4624
42;TELECOM AMERICAS;266433,35;0,171;292,41
42;TELECOM ITALIA;893374,76;0,5733;3286,7289000000005
42;TELEFONICA;225692,67;0,1448;209,67040000000003
43;DATORA;63,33;0,0;0,0
43;LIGGA TELECOM;46768,85;0,0205;4,202500000000001
43;NEXTEL;27,02;0,0;0,0
43;OI;275196,1;0,1208;145,9264
43;OUTROS;12159,09;0,0053;0,2809
43;TELECOM AMERICAS;340086,65;0,1493;222,90489999999997
43;TELECOM ITALIA;1166179,92;0,5118;2619,3924
43;TELEFONICA;438017,83;0,1922;369,40840000000003
44;DATORA;46,67;0,0;0,0
44;NEXTEL;17,94;0,0;0,0
44;OI;183112,9;0,0807;65,1249
44;OUTROS;29506,3;0,013;1,69
44;TELECOM AMERICAS;242479,69;0,1069;114,2761
44;TELECOM ITALIA;1413326,17;0,6232;3883,7824
44;TELEFONICA;399369,71;0,1761;310,1121
45;DATORA;56,67;0,0;0,0
45;NEXTEL;14,06;0,0;0,0
45;OI;89929,47;0,0691;47,748099999999994
45;OUTROS;10286,73;0,0079;0,6241000000000001
45;TELECOM AMERICAS;152930,16;0,1175;138,0625
45;TELECOM ITALIA;820802,21;0,6304;3974,0415999999996
45;TELEFONICA;227952,29;0,1751;306,6001
46;DATORA;43,34;0,0001;0,0001
46;NEXTEL;2,75;0,0;0,0
46;OI;44468,35;0,0709;50,268100000000004
46;OUTROS;6834,58;0,0109;1,1881
46;TELECOM AMERICAS;86980,93;0,1387;192,37689999999998
46;TELECOM ITALIA;360562,18;0,5749;3305,1000999999997
46;TELEFONICA;128243,67;0,2045;418,2025
47;DATORA;3776,67;0,001;0,01
47;NEXTEL;76,76;0,0;0,0
47;OI;294675,45;0,0799;63,8401
47;OUTROS;14783,85;0,004;0,16
47;TELECOM AMERICAS;616634,31;0,1671;279,22409999999996
47;TELECOM ITALIA;1638485,46;0,4441;1972,2481
47;TELEFONICA;1120693,7;0,3038;922,9444000000001
48;DATORA;4788,08;0,0017;0,0289
48;NEXTEL;53,4;0,0;0,0
48;OI;288212,6;0,1008;101,60640000000001
48;OUTROS;26913,18;0,0094;0,8836
48;TELECOM AMERICAS;462862,57;0,1618;261,7924
48;TELECOM ITALIA;1352286,5;0,4728;2235,3984
48;TELEFONICA;725066,87;0,2535;642,6225000000001
49;DATORA;83,34;0,0;0,0
49;NEXTEL;8,31;0,0;0,0
49;OI;145136,59;0,0836;69,88959999999999
49;OUTROS;9847,08;0,0057;0,3249
49;TELECOM AMERICAS;334952,84;0,1929;372,1040999999999
49;TELECOM ITALIA;813329,66;0,4685;2194,9225
49;TELEFONICA;432837,51;0,2493;621,5048999999999
51;DATORA;35814,58;0,0051;0,26010000000000005
51;NEXTEL;110,51;0,0;0,0
51;OI;874532,32;0,1238;153,2644
51;OUTROS;16375,92;0,0023;0,0529
51;TELECOM AMERICAS;2458584,75;0,348;1211,04
51;TELECOM ITALIA;558332,1;0,079;62,410000000000004
51;TELEFONICA;3121833,33;0,4418;1951,8724000000002
53;DATORA;23,33;0,0;0,0
53;NEXTEL;4,74;0,0;0,0
53;OI;249414,38;0,2081;433,0561
53;OUTROS;3529,31;0,0029;0,0841
53;TELECOM AMERICAS;406017,97;0,3388;1147,8544
53;TELECOM ITALIA;139863,6;0,1167;136,1889
53;TELEFONICA;399652,29;0,3335;1112,2225
54;DATORA;44,0;0,0;0,0
54;NEXTEL;13,65;0,0;0,0
54;OI;188315,65;0,0699;48,8601
54;OUTROS;3368,66;0,0012;0,014399999999999998
54;TELECOM AMERICAS;1118643,45;0,415;1722,25
54;TELECOM ITALIA;152189,79;0,0565;31,922500000000003
54;TELEFONICA;1232958,35;0,4574;2092,1476
55;NEXTEL;12,23;0,0;0,0
55;OI;272670,4;0,1207;145,6849
55;OUTROS;8077,42;0,0036;0,1296
55;TELECOM AMERICAS;581448,08;0,2575;663,0625
55;TELECOM ITALIA;119172,84;0,0528;27,8784
55;TELEFONICA;1276873,3;0,5654;3196,7716
61;DATORA;26158,34;0,0054;0,2916
61;NEXTEL;206,99;0,0;0,0
61;OI;597874,27;0,1241;154,0081
61;OUTROS;21430,33;0,0044;0,19360000000000002
61;TELECOM AMERICAS;1916325,21;0,3978;1582,4484
61;TELECOM ITALIA;827303,3;0,1717;294,80889999999994
61;TELEFONICA;1427952,73;0,2964;878,5296
62;DATORA;23977,33;0,0046;0,2116
62;NEXTEL;73,86;0,0;0,0
62;OI;991147,28;0,1883;354,5689
62;OUTROS;12364,86;0,0023;0,0529
62;TELECOM AMERICAS;2150131,34;0,4084;1667,9055999999998
62;TELECOM ITALIA;719196,05;0,1366;186,5956
62;TELEFONICA;1367503,22;0,2598;674,9603999999999
63;DATORA;204,17;0,0001;0,0001
63;NEXTEL;10,8;0,0;0,0
63;OI;366428,85;0,2351;552,7201
63;OUTROS;5911,48;0,0038;0,1444
63;TELECOM AMERICAS;869696,04;0,5581;3114,7561000000005
63;TELECOM ITALIA;78536,51;0,0504;25,401600000000002
63;TELEFONICA;237535,29;0,1524;232,25760000000002
64;ALGAR (CTBC TELECOM);49982,15;0,0279;7,784100000000001
64;DATORA;325,0;0,0002;0,0004
64;NEXTEL;13,27;0,0;0,0
64;OI;225299,48;0,1258;158,25639999999999
64;OUTROS;3183,83;0,0018;0,0324
64;TELECOM AMERICAS;780657,65;0,4359;1900,0881
64;TELECOM ITALIA;152991,14;0,0854;72,9316
64;TELEFONICA;578302,07;0,3229;1042,6441000000002
65;DATORA;42,08;0,0;0,0
65;NEXTEL;25,83;0,0;0,0
65;OI;250704,33;0,1159;134,3281
65;OUTROS;8263,99;0,0038;0,1444
65;TELECOM AMERICAS;744220,08;0,3441;1184,0481000000002
65;TELECOM ITALIA;148096,07;0,0685;46,922500000000014
65;TELEFONICA;1011539,35;0,4677;2187,4329000000002
