UF;Grupo Econômico;media_ano;market_share;hhi_empresa
CE;DATORA;57864,75;0,0063;0,39690000000000003
CE;OUTROS;5254,42;0,0006;0,0035999999999999995
CE;SURF TELECOM;8179,22;0,0009;0,0081
CE;TELECOM AMERICAS;2889046,15;0,3144;988,4736000000001
CE;TELECOM ITALIA;2968957,9699999997;0,3231;1043,9361
CE;TELEFONICA;3260184,34;0,3548;1258,8304
DF;AMERICA NET;844,12;0,0002;0,0004
DF;DATORA;61836,38;0,0163;2,6568999999999994
DF;OUTROS;1631,74;0,0004;0,0016
DF;SURF TELECOM;6676,87;0,0018;0,0324
DF;TELECOM AMERICAS;1521859,95;0,4;1600,0000000000002
DF;TELECOM ITALIA;999762,42;0,2627;690,1128999999999
DF;TELEFONICA;1212412,25;0,3186;1015,0595999999999
ES;AMERICA NET;1266,24;0,0003;0,0008999999999999999
ES;DATORA;5800,88;0,0013;0,0169
ES;OUTROS;2409,48;0,0005;0,0025
ES;SURF TELECOM;8463,12;0,0019;0,0361
ES;TELECOM AMERICAS;939649,22;0,207;428,49
ES;TELECOM ITALIA;205126,56;0,0452;20,4304
ES;TELEFONICA;3377136,82;0,7439;5533,8721000000005
GO;ALGAR (CTBC TELECOM);48382,16;0,0058;0,3364
GO;AMERICA NET;355,12;0,0;0,0
GO;DATORA;40500,12;0,0049;0,24009999999999998
GO;OUTROS;2261,32;0,0003;0,0008999999999999999
GO;SURF TELECOM;7783,88;0,0009;0,0081
GO;TELECOM AMERICAS;3713092,56;0,4456;1985,5936
GO;TELECOM ITALIA;1920224,13;0,2304;530,8416
GO;TELEFONICA;2600479,44;0,3121;974,0640999999999
MA;AMERICA NET;3,37;0,0;0,0
MA;DATORA;9785,88;0,0018;0,0324
MA;OUTROS;10077,25;0,0018;0,0324
MA;SURF TELECOM;6393,820000000001;0,0011;0,012100000000000001
MA;TELECOM AMERICAS;2470832,79;0,4434;1966,0356000000002
MA;TELECOM ITALIA;1102521,87;0,1979;391,6441
MA;TELEFONICA;1972862,52;0,354;1253,1599999999999
MG;ALGAR (CTBC TELECOM);1055010,47;0,0439;19,272100000000002
MG;AMERICA NET;5016,04;0,0002;0,0004
MG;DATORA;216276,37;0,009;0,8099999999999999
MG;EB FIBRA;37,0;0,0;0,0
MG;OUTROS;12159,85;0,0005;0,0025
MG;SURF TELECOM;59855,21;0,0025;0,0625
MG;TELECOM AMERICAS;5502012,95;0,2291;524,8681
MG;TELECOM ITALIA;4551438,59;0,1896;359,4816
MG;TELEFONICA;12609799,04;0,5252;2758,3504
MS;ALGAR (CTBC TELECOM);15906,380000000001;0,0051;0,26010000000000005
MS;AMERICA NET;258,62;0,0001;0,0001
MS;DATORA;3650,87;0,0012;0,014399999999999998
MS;OUTROS;52,88;0,0;0,0
MS;SURF TELECOM;5019,22;0,0016;0,0256
MS;TELECOM AMERICAS;1149189,84;0,3675;1350,5625
MS;TELECOM ITALIA;437340,73;0,1398;195,4404
MS;TELEFONICA;1515815,03;0,4847;2349,3409
MT;AMERICA NET;441,34000000000003;0,0001;0,0001
MT;DATORA;10133,38;0,0023;0,0529
MT;OUTROS;244,36;0,0001;0,0001
MT;SURF TELECOM;6861,7;0,0016;0,0256
MT;TELECOM AMERICAS;1325583,28;0,3052;931,4704000000002
MT;TELECOM ITALIA;699774,23;0,1611;259,53209999999996
MT;TELEFONICA;2299841,2;0,5296;2804,7616
PA;AMERICA NET;7,13;0,0;0,0
PA;DATORA;23265,370000000003;0,0031;0,09609999999999999
PA;OUTROS;762,99;0,0001;0,0001
PA;SURF TELECOM;9157,41;0,0012;0,014399999999999998
PA;TELECOM AMERICAS;2539086,78;0,3349;1121,5801
PA;TELECOM ITALIA;1751424,08;0,231;533,61
PA;TELEFONICA;3258756,02;0,4298;1847,2804
PB;AMERICA NET;30,11;0,0;0,0
PB;DATORA;33620,0;0,0085;0,7225
PB;OUTROS;1650,2400000000002;0,0004;0,0016
PB;SURF TELECOM;6060,39;0,0015;0,0225
PB;TELECOM AMERICAS;1085898,95;0,2757;760,1049
PB;TELECOM ITALIA;1329365,52;0,3375;1139,0625000000002
PB;TELEFONICA;1482029,49;0,3763;1416,0169000000003
PE;AMERICA NET;22,5;0,0;0,0
PE;DATORA;49182,0;0,005;0,25
PE;OUTROS;4666,24;0,0005;0,0025
PE;SURF TELECOM;10132,57;0,001;0,01
PE;TELECOM AMERICAS;3666246,92;0,3755;1410,0024999999998
PE;TELECOM ITALIA;2739930,2800000003;0,2806;787,3636
PE;TELEFONICA;3292776,53;0,3373;1137,7129
PI;AMERICA NET;3,75;0,0;0,0
PI;DATORA;748,38;0,0002;0,0004
PI;OUTROS;20,990000000000002;0,0;0,0
PI;SURF TELECOM;6228,17;0,002;0,04
PI;TELECOM AMERICAS;1382537,3599999999;0,4523;2045,7529
PI;TELECOM ITALIA;787319,36;0,2576;663,5776
PI;TELEFONICA;880060,74;0,2879;828,8640999999999
PR;AMERICA NET;4815,24;0,0004;0,0016
PR;DATORA;109952,37;0,0081;0,6560999999999999
PR;EB FIBRA;42,0;0,0;0,0
PR;LIGGA TELECOM;37291,26;0,0027;0,0729
PR;OUTROS;4399,61;0,0003;0,0008999999999999999
PR;SURF TELECOM;128940,31;0,0095;0,9025
PR;TELECOM AMERICAS;3021338,12;0,2221;493,28409999999997
PR;TELECOM ITALIA;7024264,19;0,5163;2665,6568999999995
PR;TELEFONICA;3273512,89;0,2406;578,8836000000001
RJ;AMERICA NET;3599,75;0,0002;0,0004
RJ;DATORA;219682,75;0,0107;1,1448999999999998
RJ;OUTROS;24024,14;0,0012;0,014399999999999998
RJ;SURF TELECOM;117028,03;0,0057;0,3249
RJ;TELECOM AMERICAS;7665949,53;0,3719;1383,0961
RJ;TELECOM ITALIA;5631731,14;0,2732;746,3824
RJ;TELEFONICA;6951280,74;0,3372;1137,0384
RN;AMERICA NET;7,62;0,0;0,0
RN;DATORA;27617,0;0,0084;0,7055999999999999
RN;OUTROS;274,02000000000004;0,0001;0,0001
RN;SURF TELECOM;9396,79;0,0028;0,0784
RN;TELECOM AMERICAS;988702,98;0,2995;897,0024999999999
RN;TELECOM ITALIA;1237531,04;0,3749;1405,5001
RN;TELEFONICA;1037376,9;0,3143;987,8449000000002
RO;AMERICA NET;2,25;0,0;0,0
RO;DATORA;1235,12;0,0007;0,0049
RO;OUTROS;3,88;0,0;0,0
RO;SURF TELECOM;4020,58;0,0023;0,0529
RO;TELECOM AMERICAS;1076674,6;0,6109;3731,9881
RO;TELECOM ITALIA;292997,79;0,1663;276,5569
RO;TELEFONICA;387393,88;0,2198;483,1204
RR;AMERICA NET;2,75;0,0;0,0
RR;DATORA;16136,0;0,0241;5,8081
RR;SURF TELECOM;2765,98;0,0041;0,16810000000000003
RR;TELECOM AMERICAS;183027,34;0,2729;744,7440999999999
RR;TELECOM ITALIA;104945,76999999999;0,1565;244,9225
RR;TELEFONICA;363768,55;0,5424;2941,9775999999997
RS;AMERICA NET;3406,2599999999998;0,0003;0,0008999999999999999
RS;DATORA;125083,25;0,0095;0,9025
RS;OUTROS;65335,3;0,005;0,25
RS;SURF TELECOM;27290,09;0,0021;0,04409999999999999
RS;TELECOM AMERICAS;4318090,97;0,3284;1078,4656000000002
RS;TELECOM ITALIA;1980611,8800000001;0,1506;226,80360000000005
RS;TELEFONICA;6630840,36;0,5042;2542,1764
RS;UNIFIQUE;0,48;0,0;0,0
SC;AMERICA NET;2093,7;0,0002;0,0004
SC;DATORA;37518,490000000005;0,0042;0,17639999999999997
SC;OUTROS;8517,36;0,001;0,01
SC;SURF TELECOM;66430,48;0,0075;0,5625
SC;TELECOM AMERICAS;2149491,68;0,2419;585,1561
SC;TELECOM ITALIA;3896238,21;0,4384;1921,9456000000002
SC;TELEFONICA;2726487,57;0,3068;941,2624000000002
SC;UNIFIQUE;10,33;0,0;0,0
SE;AMERICA NET;13,5;0,0;0,0
SE;DATORA;9635,0;0,0043;0,1849
SE;OUTROS;32,37;0,0;0,0
SE;SURF TELECOM;3856,61;0,0017;0,0289
SE;TELECOM AMERICAS;497658,37;0,221;488,41
SE;TELECOM ITALIA;179315,8;0,0796;63,3616
SE;TELEFONICA;1561782,1;0,6934;4808,0356
SP;ALGAR (CTBC TELECOM);3464313,12;0,0462;21,344399999999997
SP;AMERICA NET;143154,82;0,0019;0,0361
SP;DATORA;1031052,25;0,0137;1,8769000000000002
SP;OUTROS;646377,57;0,0086;0,7396
SP;SURF TELECOM;189749,35;0,0025;0,0625
SP;TELECOM AMERICAS;25517825,81;0,3401;1156,6801000000003
SP;TELECOM ITALIA;16282676,75;0,217;470,89
SP;TELEFONICA;27765083,66;0,37;1369,0
TO;AMERICA NET;4,5;0,0;0,0
TO;DATORA;9607,38;0,006;0,36
TO;OUTROS;21,39;0,0;0,0
TO;SURF TELECOM;2995,7299999999996;0,0019;0,0361
TO;TELECOM AMERICAS;1034737,65;0,6493;4215,9048999999995
TO;TELECOM ITALIA;307337,24;0,1929;372,1040999999999
TO;TELEFONICA;238890,37;0,1499;224,70010000000002
